feature,mean_abs_coefficient,max_abs_coefficient
cat__arbk_aktiviteti_1_pershkrimi_Prodhimi i artikujve të plastikës për ndërtimtari,0.33888900283048934,0.9332791360519408
cat__zona_kadastrale_Kamenicë,0.33245878771293813,1.110105095612871
cat__rajoni_akp_Prizren,0.33057675864142844,0.8818203021777432
cat__arbk_statusiarbk_infrequent_sklearn,0.327250102369523,0.843736204022693
cat__arbk_aktiviteti_2_pershkrimi_Testi i shpuarjes dhe shpuarja,0.325095880555806,0.7520580946909183
cat__arbk_aktiviteti_1_pershkrimi_Testimi teknik dhe analizat,0.3243139269025761,0.7302270289604332
cat__arbk_aktiviteti_1_pershkrimi_Prodhimi i produkteve të qumështit,0.3235885100346531,1.294354040138612
cat__kategoria_e_asetit_depo dhe tokë,0.32057167795707553,0.6812045516868054
cat__arbk_aktiviteti_2_pershkrimi_Nxjerrja e zhavorrit dhe rërës nxjerrja e argjilës dhe kaolinit,0.31283720571434853,0.9702545428360679
cat__arbk_aktiviteti_2_pershkrimi_Punimet e kulmit (çatisë),0.3110291520186621,0.7979612393885295
cat__kategoria_e_asetit_fabrikë,0.3107461514091842,0.7500594334756842
cat__menyra_e_shitjes_Aset në likuidim,0.3100832409323553,0.5112114024576393
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e agjencive të lajmeve,0.3087708394865174,1.1328411689061975
cat__kategoria_e_asetit_lokal,0.3051681122259845,0.5633384049330594
cat__rajoni_akp_Mitrovica,0.3049971555551546,0.4743013633435204
cat__arbk_aktiviteti_2_pershkrimi_Nxjerrja  e gurit dekorativ dhe të ndërtimit gurit gëlqeror gjipsit shkumësit dhe rrasave,0.30111008444589105,0.4809155242628796
cat__zona_kadastrale_Pejë,0.30044021797039955,0.7770315920303577
cat__arbk_aktiviteti_2_pershkrimi_Rritja e kafshëve të tjera,0.2940843867555959,0.9372641218952644
cat__arbk_aktiviteti_1_pershkrimi_Kultivimi i frutave të tjera pemore shkurreve dhe arrave,0.2922280167338622,0.8551814254292153
cat__zona_kadastrale_Qerim,0.2918578526817399,1.167431410726955
num__price_per_total_m2,0.2914254881190566,0.6796008023626338
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e telekomunikimit kabllor,0.2878191626038228,0.783497253494927
num__contract_month,0.2865338272710283,0.5186479721645595
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me shumicë e lëndëve djegëse të ngurta të lëngëta ose të gazta dhe produkteve të lidhur me to,0.28523034138774156,1.056324480948187
cat__arbk_aktiviteti_2_pershkrimi_Aktivitetet e këshillimit për biznes dhe këshillat e tjera për manaxhim,0.28468866302114715,0.7487079255957418
cat__komuna_lokacioni_i_asetit_te_shitur_Prizren,0.2842526372078674,0.5126882338852211
num__siperfaqja_e_objektit_nese_ka_objekt_te_toka_dhe_dihet_siperfaqja_m2_is_outlier_iqr,0.27870146215625813,0.8953070267061636
cat__kategoria_e_asetit_infrequent_sklearn,0.27608055881539756,0.668536240629378
cat__komuna_lokacioni_i_asetit_te_shitur_Kamenicë,0.2748554858181979,0.5962421974322603
cat__arbk_aktiviteti_1_pershkrimi_Zhvillimi i projekteve të ndërtimit,0.2744684511342967,1.0975684499757565
cat__komuna_lokacioni_i_asetit_te_shitur_Gjilan,0.27371499024126905,0.5495751363705711
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me pakicë e tekstileve në dyqane të specializuara,0.2705980298092117,0.5887556127567275
cat__rajoni_akp_Gjilan,0.26963076815795417,0.4374484341519444
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e agjencive të udhëtimit,0.2690273342468059,0.6028479558356423
cat__komuna_lokacioni_i_asetit_te_shitur_Prishtinë,0.2682551801630051,0.4483725936039256
cat__rajoni_akp_Prizreni,0.2680182105214919,0.6120573598092623
cat__kategoria_e_asetit_ndërtesë administrative DHE tokë,0.26722313178567497,0.5689920453092571
cat__arbk_aktiviteti_1_pershkrimi_Tregtia me shumicë e drurit materialeve të ndërtimit dhe pajisjeve hidrosanitare,0.2663939041481017,0.7288867563168429
cat__arbk_aktiviteti_1_pershkrimi_Aktivitete juridike,0.2636349939264116,0.9391520151795442
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e tjera p.k.t.,0.26216860877650927,0.5556735397730861
cat__arbk_aktiviteti_2_pershkrimi_Ndërtimi i objekteve banesore dhe jobanesore,0.26072872758233995,0.531939240580582
cat__zona_kadastrale_GERMOVË,0.258884571334483,0.43934006073256016
cat__zona_kadastrale_Llapllasellë,0.25610870626420446,0.9883381019958516
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e këshillimit për biznes dhe këshillat e tjera për manaxhim,0.25581362557882903,0.6223108257889582
cat__kategoria_e_asetit_tokë bujqësore,0.25532505446355014,0.5542076336763568
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet shërbyese të pijeve,0.25413292572212665,0.6137393612392112
cat__kategoria_e_asetit_Tokë bujqësore,0.25305757774267723,0.5855603413423522
cat__komuna_lokacioni_i_asetit_te_shitur_Graçanicë,0.2527420272420055,0.4805466626945387
cat__arbk_aktiviteti_2_pershkrimi_Tregtia me pakicë e mishit dhe produkteve të mishit në dyqane të specializuara,0.2526461035208914,0.8445353401267398
cat__arbk_aktiviteti_1_pershkrimi_Aktivitetet e paketimit (ambalazhimit),0.25218982336176454,0.7074325606547902
cat__arbk_aktiviteti_2_pershkrimi_Zhvillimi i projekteve të ndërtimit,0.25201627595648785,0.7697976168763364
